City,crime,Age_Group,Gender,2023,2024
Agra,ARSON,10-19,F,0,1
Agra,ARSON,10-19,M,0,0
Agra,ARSON,10-19,X,0,0
Agra,ARSON,20-29,F,0,1
Agra,ARSON,20-29,M,0,0
Agra,ARSON,20-29,X,0,0
Agra,ARSON,30-39,F,0,0
Agra,ARSON,30-39,M,0,0
Agra,ARSON,30-39,X,0,0
Agra,ARSON,40-49,F,0,1
Agra,ARSON,40-49,M,0,0
Agra,ARSON,40-49,X,0,0
Agra,ARSON,50-59,F,0,1
Agra,ARSON,50-59,M,0,0
Agra,ARSON,50-59,X,0,0
Agra,ARSON,60-69,F,0,1
Agra,ARSON,60-69,M,0,0
Agra,ARSON,60-69,X,0,0
Agra,ARSON,70-79,F,0,0
Agra,ARSON,70-79,M,0,0
Agra,ARSON,70-79,X,0,0
Agra,ASSAULT,10-19,F,0,1
Agra,ASSAULT,10-19,M,0,0
Agra,ASSAULT,10-19,X,0,0
Agra,ASSAULT,20-29,F,0,1
Agra,ASSAULT,20-29,M,0,0
Agra,ASSAULT,20-29,X,0,0
Agra,ASSAULT,30-39,F,0,0
Agra,ASSAULT,30-39,M,0,0
Agra,ASSAULT,30-39,X,0,0
Agra,ASSAULT,40-49,F,1,1
Agra,ASSAULT,40-49,M,0,0
Agra,ASSAULT,40-49,X,0,0
Agra,ASSAULT,50-59,F,0,1
Agra,ASSAULT,50-59,M,0,0
Agra,ASSAULT,50-59,X,0,0
Agra,ASSAULT,60-69,F,0,1
Agra,ASSAULT,60-69,M,0,0
Agra,ASSAULT,60-69,X,0,0
Agra,ASSAULT,70-79,F,0,0
Agra,ASSAULT,70-79,M,0,0
Agra,ASSAULT,70-79,X,0,0
Agra,BURGLARY,10-19,F,0,1
Agra,BURGLARY,10-19,M,0,0
Agra,BURGLARY,10-19,X,0,0
Agra,BURGLARY,20-29,F,0,1
Agra,BURGLARY,20-29,M,0,0
Agra,BURGLARY,20-29,X,0,0
Agra,BURGLARY,30-39,F,0,0
Agra,BURGLARY,30-39,M,0,0
Agra,BURGLARY,30-39,X,0,0
Agra,BURGLARY,40-49,F,0,1
Agra,BURGLARY,40-49,M,0,0
Agra,BURGLARY,40-49,X,0,0
Agra,BURGLARY,50-59,F,0,1
Agra,BURGLARY,50-59,M,0,0
Agra,BURGLARY,50-59,X,0,0
Agra,BURGLARY,60-69,F,0,1
Agra,BURGLARY,60-69,M,0,0
Agra,BURGLARY,60-69,X,0,0
Agra,BURGLARY,70-79,F,0,0
Agra,BURGLARY,70-79,M,0,0
Agra,BURGLARY,70-79,X,0,0
Agra,COUNTERFEITING,10-19,F,0,1
Agra,COUNTERFEITING,10-19,M,0,0
Agra,COUNTERFEITING,10-19,X,0,0
Agra,COUNTERFEITING,20-29,F,1,1
Agra,COUNTERFEITING,20-29,M,0,1
Agra,COUNTERFEITING,20-29,X,0,1
Agra,COUNTERFEITING,30-39,F,0,1
Agra,COUNTERFEITING,30-39,M,0,0
Agra,COUNTERFEITING,30-39,X,0,0
Agra,COUNTERFEITING,40-49,F,1,1
Agra,COUNTERFEITING,40-49,M,0,0
Agra,COUNTERFEITING,40-49,X,0,0
Agra,COUNTERFEITING,50-59,F,0,1
Agra,COUNTERFEITING,50-59,M,0,0
Agra,COUNTERFEITING,50-59,X,0,0
Agra,COUNTERFEITING,60-69,F,0,1
Agra,COUNTERFEITING,60-69,M,0,0
Agra,COUNTERFEITING,60-69,X,0,0
Agra,COUNTERFEITING,70-79,F,1,0
Agra,COUNTERFEITING,70-79,M,0,0
Agra,COUNTERFEITING,70-79,X,0,0
Agra,CYBERCRIME,10-19,F,0,1
Agra,CYBERCRIME,10-19,M,0,0
Agra,CYBERCRIME,10-19,X,0,0
Agra,CYBERCRIME,20-29,F,0,1
Agra,CYBERCRIME,20-29,M,0,1
Agra,CYBERCRIME,20-29,X,0,1
Agra,CYBERCRIME,30-39,F,0,1
Agra,CYBERCRIME,30-39,M,0,0
Agra,CYBERCRIME,30-39,X,0,0
Agra,CYBERCRIME,40-49,F,1,1
Agra,CYBERCRIME,40-49,M,0,0
Agra,CYBERCRIME,40-49,X,0,0
Agra,CYBERCRIME,50-59,F,0,1
Agra,CYBERCRIME,50-59,M,0,0
Agra,CYBERCRIME,50-59,X,0,0
Agra,CYBERCRIME,60-69,F,0,1
Agra,CYBERCRIME,60-69,M,0,0
Agra,CYBERCRIME,60-69,X,0,0
Agra,CYBERCRIME,70-79,F,0,0
Agra,CYBERCRIME,70-79,M,0,0
Agra,CYBERCRIME,70-79,X,0,0
Agra,DOMESTIC VIOLENCE,10-19,F,0,1
Agra,DOMESTIC VIOLENCE,10-19,M,0,0
Agra,DOMESTIC VIOLENCE,10-19,X,0,0
Agra,DOMESTIC VIOLENCE,20-29,F,0,1
Agra,DOMESTIC VIOLENCE,20-29,M,0,0
Agra,DOMESTIC VIOLENCE,20-29,X,0,0
Agra,DOMESTIC VIOLENCE,30-39,F,0,0
Agra,DOMESTIC VIOLENCE,30-39,M,0,0
Agra,DOMESTIC VIOLENCE,30-39,X,0,0
Agra,DOMESTIC VIOLENCE,40-49,F,0,1
Agra,DOMESTIC VIOLENCE,40-49,M,0,0
Agra,DOMESTIC VIOLENCE,40-49,X,0,0
Agra,DOMESTIC VIOLENCE,50-59,F,0,1
Agra,DOMESTIC VIOLENCE,50-59,M,0,0
Agra,DOMESTIC VIOLENCE,50-59,X,0,0
Agra,DOMESTIC VIOLENCE,60-69,F,0,1
Agra,DOMESTIC VIOLENCE,60-69,M,0,0
Agra,DOMESTIC VIOLENCE,60-69,X,0,0
Agra,DOMESTIC VIOLENCE,70-79,F,0,0
Agra,DOMESTIC VIOLENCE,70-79,M,0,0
Agra,DOMESTIC VIOLENCE,70-79,X,0,0
Agra,DRUG OFFENSE,10-19,F,0,1
Agra,DRUG OFFENSE,10-19,M,0,0
Agra,DRUG OFFENSE,10-19,X,0,0
Agra,DRUG OFFENSE,20-29,F,1,1
Agra,DRUG OFFENSE,20-29,M,0,0
Agra,DRUG OFFENSE,20-29,X,0,1
Agra,DRUG OFFENSE,30-39,F,0,1
Agra,DRUG OFFENSE,30-39,M,0,0
Agra,DRUG OFFENSE,30-39,X,0,0
Agra,DRUG OFFENSE,40-49,F,1,1
Agra,DRUG OFFENSE,40-49,M,0,0
Agra,DRUG OFFENSE,40-49,X,0,0
Agra,DRUG OFFENSE,50-59,F,0,1
Agra,DRUG OFFENSE,50-59,M,0,0
Agra,DRUG OFFENSE,50-59,X,0,0
Agra,DRUG OFFENSE,60-69,F,0,1
Agra,DRUG OFFENSE,60-69,M,0,0
Agra,DRUG OFFENSE,60-69,X,0,0
Agra,DRUG OFFENSE,70-79,F,0,0
Agra,DRUG OFFENSE,70-79,M,0,0
Agra,DRUG OFFENSE,70-79,X,0,0
Agra,EXTORTION,10-19,F,0,1
Agra,EXTORTION,10-19,M,0,0
Agra,EXTORTION,10-19,X,0,0
Agra,EXTORTION,20-29,F,1,1
Agra,EXTORTION,20-29,M,0,1
Agra,EXTORTION,20-29,X,0,1
Agra,EXTORTION,30-39,F,0,1
Agra,EXTORTION,30-39,M,0,0
Agra,EXTORTION,30-39,X,0,0
Agra,EXTORTION,40-49,F,1,1
Agra,EXTORTION,40-49,M,0,0
Agra,EXTORTION,40-49,X,0,0
Agra,EXTORTION,50-59,F,1,1
Agra,EXTORTION,50-59,M,0,0
Agra,EXTORTION,50-59,X,0,0
Agra,EXTORTION,60-69,F,0,1
Agra,EXTORTION,60-69,M,0,0
Agra,EXTORTION,60-69,X,0,0
Agra,EXTORTION,70-79,F,1,0
Agra,EXTORTION,70-79,M,0,0
Agra,EXTORTION,70-79,X,0,0
Agra,FIREARM OFFENSE,10-19,F,0,1
Agra,FIREARM OFFENSE,10-19,M,0,0
Agra,FIREARM OFFENSE,10-19,X,0,0
Agra,FIREARM OFFENSE,20-29,F,0,1
Agra,FIREARM OFFENSE,20-29,M,0,0
Agra,FIREARM OFFENSE,20-29,X,0,0
Agra,FIREARM OFFENSE,30-39,F,0,0
Agra,FIREARM OFFENSE,30-39,M,0,0
Agra,FIREARM OFFENSE,30-39,X,0,0
Agra,FIREARM OFFENSE,40-49,F,0,1
Agra,FIREARM OFFENSE,40-49,M,0,0
Agra,FIREARM OFFENSE,40-49,X,0,0
Agra,FIREARM OFFENSE,50-59,F,0,1
Agra,FIREARM OFFENSE,50-59,M,0,0
Agra,FIREARM OFFENSE,50-59,X,0,0
Agra,FIREARM OFFENSE,60-69,F,0,1
Agra,FIREARM OFFENSE,60-69,M,0,0
Agra,FIREARM OFFENSE,60-69,X,0,0
Agra,FIREARM OFFENSE,70-79,F,0,0
Agra,FIREARM OFFENSE,70-79,M,0,0
Agra,FIREARM OFFENSE,70-79,X,0,0
Agra,FRAUD,10-19,F,0,1
Agra,FRAUD,10-19,M,0,0
Agra,FRAUD,10-19,X,0,0
Agra,FRAUD,20-29,F,1,1
Agra,FRAUD,20-29,M,0,1
Agra,FRAUD,20-29,X,0,1
Agra,FRAUD,30-39,F,0,1
Agra,FRAUD,30-39,M,0,0
Agra,FRAUD,30-39,X,0,0
Agra,FRAUD,40-49,F,1,1
Agra,FRAUD,40-49,M,0,0
Agra,FRAUD,40-49,X,0,0
Agra,FRAUD,50-59,F,0,1
Agra,FRAUD,50-59,M,0,0
Agra,FRAUD,50-59,X,0,0
Agra,FRAUD,60-69,F,0,1
Agra,FRAUD,60-69,M,0,0
Agra,FRAUD,60-69,X,0,0
Agra,FRAUD,70-79,F,0,0
Agra,FRAUD,70-79,M,0,0
Agra,FRAUD,70-79,X,0,0
Agra,HOMICIDE,10-19,F,0,1
Agra,HOMICIDE,10-19,M,0,0
Agra,HOMICIDE,10-19,X,0,0
Agra,HOMICIDE,20-29,F,0,1
Agra,HOMICIDE,20-29,M,0,0
Agra,HOMICIDE,20-29,X,0,1
Agra,HOMICIDE,30-39,F,0,1
Agra,HOMICIDE,30-39,M,0,0
Agra,HOMICIDE,30-39,X,0,0
Agra,HOMICIDE,40-49,F,0,1
Agra,HOMICIDE,40-49,M,0,0
Agra,HOMICIDE,40-49,X,0,0
Agra,HOMICIDE,50-59,F,0,1
Agra,HOMICIDE,50-59,M,0,0
Agra,HOMICIDE,50-59,X,0,0
Agra,HOMICIDE,60-69,F,0,1
Agra,HOMICIDE,60-69,M,0,0
Agra,HOMICIDE,60-69,X,0,0
Agra,HOMICIDE,70-79,F,0,0
Agra,HOMICIDE,70-79,M,0,0
Agra,HOMICIDE,70-79,X,0,0
Agra,IDENTITY THEFT,10-19,F,0,1
Agra,IDENTITY THEFT,10-19,M,0,0
Agra,IDENTITY THEFT,10-19,X,0,0
Agra,IDENTITY THEFT,20-29,F,0,1
Agra,IDENTITY THEFT,20-29,M,0,0
Agra,IDENTITY THEFT,20-29,X,0,0
Agra,IDENTITY THEFT,30-39,F,0,0
Agra,IDENTITY THEFT,30-39,M,0,0
Agra,IDENTITY THEFT,30-39,X,0,0
Agra,IDENTITY THEFT,40-49,F,0,1
Agra,IDENTITY THEFT,40-49,M,0,0
Agra,IDENTITY THEFT,40-49,X,0,0
Agra,IDENTITY THEFT,50-59,F,0,1
Agra,IDENTITY THEFT,50-59,M,0,0
Agra,IDENTITY THEFT,50-59,X,0,0
Agra,IDENTITY THEFT,60-69,F,0,1
Agra,IDENTITY THEFT,60-69,M,0,0
Agra,IDENTITY THEFT,60-69,X,0,0
Agra,IDENTITY THEFT,70-79,F,0,0
Agra,IDENTITY THEFT,70-79,M,0,0
Agra,IDENTITY THEFT,70-79,X,0,0
Agra,ILLEGAL POSSESSION,10-19,F,0,1
Agra,ILLEGAL POSSESSION,10-19,M,0,0
Agra,ILLEGAL POSSESSION,10-19,X,0,0
Agra,ILLEGAL POSSESSION,20-29,F,0,1
Agra,ILLEGAL POSSESSION,20-29,M,0,0
