City,crime,2023,2024,2025,2026,TotalCount
Mumbai,ASSAULT,21,50,51,29,151
Mumbai,DRUG OFFENSE,21,50,50,29,149
Delhi,ASSAULT,22,50,48,28,148
Delhi,DRUG OFFENSE,21,49,47,27,144
Mumbai,EXTORTION,18,44,44,26,132
Mumbai,KIDNAPPING,18,42,43,25,128
Mumbai,COUNTERFEITING,17,42,42,24,126
Delhi,EXTORTION,18,42,41,24,125
Delhi,KIDNAPPING,18,42,41,24,124
Delhi,COUNTERFEITING,18,42,40,23,123
Mumbai,ROBBERY,17,41,41,24,123
Mumbai,TRAFFIC VIOLATION,16,40,40,24,121
Delhi,ROBBERY,18,41,39,23,120
Mumbai,ILLEGAL POSSESSION,16,39,39,23,117
Mumbai,DOMESTIC VIOLENCE,16,39,39,23,117
Mumbai,VANDALISM,16,38,39,22,115
Delhi,ILLEGAL POSSESSION,17,39,37,22,114
Delhi,VANDALISM,17,38,37,21,113
Delhi,DOMESTIC VIOLENCE,16,38,37,22,112
Delhi,TRAFFIC VIOLATION,15,37,37,21,111
Mumbai,FRAUD,15,36,36,21,109
Delhi,VEHICLE - STOLEN,16,37,35,20,108
Delhi,FRAUD,16,36,35,20,107
Mumbai,VEHICLE - STOLEN,15,35,36,21,107
Mumbai,SHOPLIFTING,13,32,32,19,96
Delhi,SHOPLIFTING,11,29,28,17,85
Bangalore,EXTORTION,13,28,27,16,84
Delhi,CYBERCRIME,13,28,27,16,83
Bangalore,ASSAULT,13,28,27,16,83
Mumbai,CYBERCRIME,12,28,28,16,83
Bangalore,ILLEGAL POSSESSION,13,28,27,15,82
Bangalore,DRUG OFFENSE,13,26,26,15,80
Bangalore,ARSON,11,27,26,15,79
Bangalore,SHOPLIFTING,11,25,25,14,75
Bangalore,ROBBERY,11,25,24,14,74
Hyderabad,ILLEGAL POSSESSION,11,24,25,14,74
Mumbai,FIREARM OFFENSE,10,25,25,14,74
Kolkata,ILLEGAL POSSESSION,10,25,25,14,74
Chennai,ILLEGAL POSSESSION,10,24,24,14,72
Bangalore,SEXUAL ASSAULT,10,24,24,14,72
Hyderabad,EXTORTION,10,24,24,14,71
Mumbai,ARSON,10,23,23,14,70
Bangalore,FRAUD,11,23,23,13,70
Hyderabad,ASSAULT,10,23,23,13,70
Hyderabad,ARSON,9,23,23,14,69
Chennai,ASSAULT,9,23,23,13,68
Delhi,FIREARM OFFENSE,9,23,22,13,66
Chennai,EXTORTION,9,22,22,13,66
Chennai,DRUG OFFENSE,9,22,22,13,66
Hyderabad,ROBBERY,9,22,22,13,65
Bangalore,CYBERCRIME,10,22,21,12,65
Hyderabad,DRUG OFFENSE,10,22,22,12,65
Kolkata,DRUG OFFENSE,9,22,22,12,65
Hyderabad,SHOPLIFTING,9,21,21,13,64
Bangalore,TRAFFIC VIOLATION,9,21,21,12,63
Hyderabad,CYBERCRIME,9,21,21,12,62
Bangalore,COUNTERFEITING,10,21,20,12,62
Mumbai,HOMICIDE,9,21,21,12,62
Chennai,ARSON,8,21,21,12,62
Hyderabad,SEXUAL ASSAULT,8,20,21,12,61
Hyderabad,FRAUD,8,20,20,12,60
Delhi,HOMICIDE,9,20,20,11,60
Delhi,ARSON,7,20,20,12,59
Chennai,ROBBERY,8,20,20,11,59
Bangalore,VANDALISM,9,19,19,11,59
Bangalore,VEHICLE - STOLEN,9,20,19,11,59
Bangalore,BURGLARY,8,20,19,11,59
Chennai,SHOPLIFTING,8,20,19,11,58
Chennai,CYBERCRIME,8,20,19,11,58
Kolkata,ARSON,8,19,19,11,58
Hyderabad,COUNTERFEITING,8,19,19,11,57
Pune,ILLEGAL POSSESSION,8,19,19,11,57
Bangalore,DOMESTIC VIOLENCE,9,19,19,11,57
Mumbai,BURGLARY,8,19,19,11,57
Bangalore,PUBLIC INTOXICATION,8,19,18,11,56
Kolkata,ASSAULT,8,19,19,11,56
Chennai,FRAUD,7,19,19,11,56
Pune,DRUG OFFENSE,7,18,18,10,54
Bangalore,KIDNAPPING,9,18,18,10,54
Kanpur,ILLEGAL POSSESSION,6,19,18,10,54
Kolkata,EXTORTION,8,18,18,10,54
Bangalore,FIREARM OFFENSE,8,18,18,10,54
Delhi,BURGLARY,7,18,17,10,53
Chennai,SEXUAL ASSAULT,7,18,18,11,53
Kolkata,SHOPLIFTING,8,18,17,10,53
Hyderabad,PUBLIC INTOXICATION,7,17,18,10,52
Hyderabad,VEHICLE - STOLEN,7,17,17,10,52
Bangalore,HOMICIDE,8,17,17,10,52
Pune,ASSAULT,7,18,17,10,52
Hyderabad,BURGLARY,7,17,17,10,51
Kolkata,VANDALISM,7,17,17,10,51
Chennai,COUNTERFEITING,7,17,17,10,51
