City,crime,Age_Group,Gender,2023,2024
Agra,ARSON,10-19,F,0.2145425473506941,0.5796544761459446
Agra,ARSON,10-19,M,0.09169230887755792,0.2255643723346107
Agra,ARSON,10-19,X,0.0,0.0
Agra,ARSON,20-29,F,0.30837399449719727,0.7785604668003628
Agra,ARSON,20-29,M,0.11604699703184128,0.3207107316408946
Agra,ARSON,20-29,X,0.0,0.0
Agra,ARSON,30-39,F,0.1548664208265301,0.3516304168572753
Agra,ARSON,30-39,M,0.08333361124041946,0.15453907994505353
Agra,ARSON,30-39,X,0.0,0.0
Agra,ARSON,40-49,F,0.3606254579743743,0.5426291862696908
Agra,ARSON,40-49,M,0.15283810652108967,0.1992400374813004
Agra,ARSON,40-49,X,0.0,0.0
Agra,ARSON,50-59,F,0.2973994186482468,0.507010910302823
Agra,ARSON,50-59,M,0.14029954809680836,0.2492757829860523
Agra,ARSON,50-59,X,0.0,0.0
Agra,ARSON,60-69,F,0.11736226003292599,0.5192877137225302
Agra,ARSON,60-69,M,0.05391615309295754,0.20757917799200365
Agra,ARSON,60-69,X,0.0,0.0
Agra,ARSON,70-79,F,0.30035694685879816,0.25752325212964483
Agra,ARSON,70-79,M,0.14782286202245848,0.10354171032177527
Agra,ARSON,70-79,X,0.0,0.0
Agra,ASSAULT,10-19,F,0.32185542917921456,0.7081907886957267
Agra,ASSAULT,10-19,M,0.13698310700993804,0.2748819429345427
Agra,ASSAULT,10-19,X,0.0,0.0
Agra,ASSAULT,20-29,F,0.47385590325557786,0.9613904850477513
Agra,ASSAULT,20-29,M,0.1795397253678955,0.3996269959724763
Agra,ASSAULT,20-29,X,0.0,0.0
Agra,ASSAULT,30-39,F,0.23883620536321443,0.4154386926168753
Agra,ASSAULT,30-39,M,0.1296216848923328,0.18485593755255647
Agra,ASSAULT,30-39,X,0.0,0.0
Agra,ASSAULT,40-49,F,0.5528770722006944,0.6426403482140683
Agra,ASSAULT,40-49,M,0.23621207716698395,0.23708026676563254
Agra,ASSAULT,40-49,X,0.0,0.0
Agra,ASSAULT,50-59,F,0.4539909743582427,0.6113542400366583
Agra,ASSAULT,50-59,M,0.21500193823640928,0.3114537660234798
Agra,ASSAULT,50-59,X,0.0,0.0
Agra,ASSAULT,60-69,F,0.18126944258114705,0.6166642000722232
Agra,ASSAULT,60-69,M,0.08367653617476893,0.24926999113348502
Agra,ASSAULT,60-69,X,0.0,0.0
Agra,ASSAULT,70-79,F,0.46390460737123057,0.30152087911501674
Agra,ASSAULT,70-79,M,0.23044819523025883,0.12046650638881273
Agra,ASSAULT,70-79,X,0.0,0.0
Agra,BURGLARY,10-19,F,0.22395641176192813,0.7779517854102298
Agra,BURGLARY,10-19,M,0.09574600915394796,0.3017032530669249
Agra,BURGLARY,10-19,X,0.0,0.0
Agra,BURGLARY,20-29,F,0.3569838611445002,1.0409496277643369
Agra,BURGLARY,20-29,M,0.1322153946171459,0.4258108258866116
Agra,BURGLARY,20-29,X,0.0,0.0
Agra,BURGLARY,30-39,F,0.1643099468945417,0.47268359182225367
Agra,BURGLARY,30-39,M,0.08979340573162303,0.20634098686507293
Agra,BURGLARY,30-39,X,0.0,0.0
Agra,BURGLARY,40-49,F,0.4122146011181741,0.7350677849487404
Agra,BURGLARY,40-49,M,0.17182933935783473,0.2684624800254822
Agra,BURGLARY,40-49,X,0.0,0.0
Agra,BURGLARY,50-59,F,0.3140359563902787,0.6840737730758777
Agra,BURGLARY,50-59,M,0.1496047178488345,0.33105148990156175
Agra,BURGLARY,50-59,X,0.0,0.0
Agra,BURGLARY,60-69,F,0.12458668264516376,0.7036918605404398
Agra,BURGLARY,60-69,M,0.057933198853082186,0.2791907386228194
Agra,BURGLARY,60-69,X,0.0,0.0
Agra,BURGLARY,70-79,F,0.3364770026958033,0.3459929670020656
Agra,BURGLARY,70-79,M,0.1646107199122181,0.1389487388227712
Agra,BURGLARY,70-79,X,0.0,0.0
Agra,COUNTERFEITING,10-19,F,0.3219232829647911,0.9436702816931217
Agra,COUNTERFEITING,10-19,M,0.13550282684697076,0.3673119373720891
Agra,COUNTERFEITING,10-19,X,0.0,0.0
Agra,COUNTERFEITING,20-29,F,0.5315448447594768,1.2723838684511812
Agra,COUNTERFEITING,20-29,M,0.19813728012422382,0.5274565231043674
Agra,COUNTERFEITING,20-29,X,0.0,0.0
Agra,COUNTERFEITING,30-39,F,0.25229515808978514,0.5646176442614628
Agra,COUNTERFEITING,30-39,M,0.1380533902186118,0.24955394423946017
Agra,COUNTERFEITING,30-39,X,0.0,0.0
Agra,COUNTERFEITING,40-49,F,0.6103534981621468,0.8726434475291933
Agra,COUNTERFEITING,40-49,M,0.25684303312052975,0.3212708494428159
Agra,COUNTERFEITING,40-49,X,0.0,0.0
Agra,COUNTERFEITING,50-59,F,0.471038102668973,0.8254842645575098
Agra,COUNTERFEITING,50-59,M,0.22325768073199923,0.4119338649186345
Agra,COUNTERFEITING,50-59,X,0.0,0.0
Agra,COUNTERFEITING,60-69,F,0.19318639798761078,0.8378923953557461
Agra,COUNTERFEITING,60-69,M,0.08919758387255354,0.33652375584675037
Agra,COUNTERFEITING,60-69,X,0.0,0.0
Agra,COUNTERFEITING,70-79,F,0.507530055295316,0.4107504808262993
Agra,COUNTERFEITING,70-79,M,0.24991646720779281,0.16478790370965668
Agra,COUNTERFEITING,70-79,X,0.0,0.0
Agra,CYBERCRIME,10-19,F,0.25485118475387586,1.0329311064203468
Agra,CYBERCRIME,10-19,M,0.10762136056074527,0.401334913669805
Agra,CYBERCRIME,10-19,X,0.0,0.0
Agra,CYBERCRIME,20-29,F,0.46642356772596116,1.3853296149007177
Agra,CYBERCRIME,20-29,M,0.1710808380397819,0.569238436474158
Agra,CYBERCRIME,20-29,X,0.0,0.0
Agra,CYBERCRIME,30-39,F,0.2011683891611591,0.6299783485019638
